,cam,frame,id,x,y
0,1,1,0,1237,771
1,1,1,1,1097,771
2,2,1,0,1389,1139
3,2,1,1,1571,1149
4,1,2,0,1237,771
5,1,2,1,1097,773
6,2,2,0,1389,1139
7,2,2,1,1571,1149
8,1,4,0,1239,771
9,1,4,1,1097,771
10,2,4,0,1389,1139
11,2,4,1,1571,1151
12,1,5,0,1239,771
13,1,5,1,1097,771
14,2,5,0,1389,1139
15,2,5,1,1571,1151
16,1,6,0,1237,771
17,1,6,1,1097,773
18,2,6,0,1389,1139
19,2,6,1,1571,1151
20,1,7,0,1239,771
21,1,7,1,1097,773
22,2,7,0,1389,1139
23,2,7,1,1571,1151
24,1,8,0,1239,771
25,1,8,1,1097,771
26,2,8,0,1389,1139
27,2,8,1,1571,1151
28,1,9,0,1239,771
29,1,9,1,1097,771
30,2,9,0,1387,1141
31,2,9,1,1571,1151
32,1,10,0,1237,771
33,1,10,1,1097,771
34,2,10,0,1389,1139
35,2,10,1,1571,1151
36,1,11,0,1237,771
37,1,11,1,1097,771
38,2,11,0,1389,1139
39,2,11,1,1571,1151
40,1,14,0,1239,771
41,1,14,1,1097,773
42,2,14,0,1389,1137
43,2,14,1,1571,1151
44,1,15,0,1239,771
45,1,15,1,1097,773
46,2,15,0,1389,1137
47,2,15,1,1571,1151
48,1,16,0,1237,771
49,1,16,1,1097,771
50,2,16,0,1389,1137
51,2,16,1,1571,1151
52,1,17,0,1239,769
53,1,17,1,1097,773
54,2,17,0,1389,1137
55,2,17,1,1571,1151
56,1,19,0,1239,769
57,1,19,1,1097,771
58,2,19,0,1389,1139
59,2,19,1,1571,1151
60,1,20,0,1239,769
61,1,20,1,1097,771
62,2,20,0,1389,1139
63,2,20,1,1571,1151
64,1,21,0,1237,769
65,1,21,1,1097,771
66,2,21,0,1389,1139
67,2,21,1,1571,1151
68,1,22,0,1239,771
69,1,22,1,1097,771
70,2,22,0,1389,1139
71,2,22,1,1571,1151
72,1,23,0,1237,771
73,1,23,1,1097,769
74,2,23,0,1387,1141
75,2,23,1,1571,1151
76,1,24,0,1239,771
77,1,24,1,1097,771
78,2,24,0,1387,1141
79,2,24,1,1571,1151
80,1,25,0,1239,771
81,1,25,1,1097,771
82,2,25,0,1387,1141
83,2,25,1,1571,1151
84,1,26,0,1239,771
85,1,26,1,1097,771
86,2,26,0,1389,1139
87,2,26,1,1571,1151
88,1,27,0,1239,771
89,1,27,1,1097,771
90,2,27,0,1389,1139
91,2,27,1,1571,1151
92,1,28,0,1239,771
93,1,28,1,1097,771
94,2,28,0,1389,1139
95,2,28,1,1571,1149
96,1,29,0,1239,769
97,1,29,1,1097,771
98,2,29,0,1389,1139
99,2,29,1,1571,1151
100,1,30,0,1237,769
101,1,30,1,1097,771
102,2,30,0,1391,1139
103,2,30,1,1571,1151
104,1,31,0,1237,771
105,1,31,1,1097,771
106,2,31,0,1389,1137
107,2,31,1,1571,1151
108,1,32,0,1237,771
109,1,32,1,1097,769
110,2,32,0,1387,1139
111,2,32,1,1571,1151
112,1,33,0,1239,771
113,1,33,1,1097,771
114,2,33,0,1387,1139
115,2,33,1,1571,1151
116,1,34,0,1237,769
117,1,34,1,1097,769
118,2,34,0,1387,1139
119,2,34,1,1571,1151
120,1,35,0,1239,771
121,1,35,1,1097,771
122,2,35,0,1387,1139
123,2,35,1,1571,1151
124,1,36,0,1237,771
125,1,36,1,1097,771
126,2,36,0,1389,1137
127,2,36,1,1571,1151
128,1,37,0,1237,771
129,1,37,1,1097,771
130,2,37,0,1391,1139
131,2,37,1,1571,1151
132,1,40,0,1239,771
133,1,40,1,1097,771
134,2,40,0,1389,1137
135,2,40,1,1571,1151
136,1,41,0,1239,771
137,1,41,1,1097,771
138,2,41,0,1389,1137
139,2,41,1,1571,1151
140,1,42,0,1239,771
141,1,42,1,1097,771
142,2,42,0,1391,1139
143,2,42,1,1571,1151
144,1,43,0,1239,771
145,1,43,1,1097,771
146,2,43,0,1389,1141
147,2,43,1,1571,1151
148,1,44,0,1239,771
149,1,44,1,1097,771
150,2,44,0,1389,1137
151,2,44,1,1571,1151
152,1,45,0,1239,771
153,1,45,1,1097,771
154,2,45,0,1389,1137
155,2,45,1,1571,1151
156,1,46,0,1237,771
157,1,46,1,1097,771
158,2,46,0,1391,1139
159,2,46,1,1571,1151
160,1,48,0,1237,771
161,1,48,1,1097,771
162,2,48,0,1389,1145
163,2,48,1,1571,1151
164,1,50,0,1237,769
165,1,50,1,1095,771
166,2,50,0,1391,1139
167,2,50,1,1571,1151
168,1,51,0,1239,771
169,1,51,1,1097,771
170,2,51,0,1391,1139
171,2,51,1,1571,1151
172,1,52,0,1239,771
173,1,52,1,1097,771
174,2,52,0,1391,1139
175,2,52,1,1571,1151
176,1,76,0,1239,771
177,1,76,1,1097,771
178,2,76,0,1391,1139
179,2,76,1,1571,1151
180,1,77,0,1239,771
181,1,77,1,1097,771
182,2,77,0,1389,1141
183,2,77,1,1571,1151
184,1,78,0,1237,769
185,1,78,1,1097,771
186,2,78,0,1391,1139
187,2,78,1,1571,1151
188,1,79,0,1239,771
189,1,79,1,1097,771
190,2,79,0,1389,1141
191,2,79,1,1571,1151
192,1,80,0,1239,771
193,1,80,1,1097,773
194,2,80,0,1391,1139
195,2,80,1,1571,1151
196,1,81,0,1239,771
197,1,81,1,1097,771
198,2,81,0,1391,1139
199,2,81,1,1571,1151
200,1,82,0,1239,773
201,1,82,1,1097,771
202,2,82,0,1389,1137
203,2,82,1,1571,1151
204,1,83,0,1239,771
205,1,83,1,1097,773
206,2,83,0,1389,1137
207,2,83,1,1571,1151
208,1,84,0,1237,769
209,1,84,1,1097,771
210,2,84,0,1391,1139
211,2,84,1,1571,1151
212,1,85,0,1239,771
213,1,85,1,1097,771
214,2,85,0,1389,1141
215,2,85,1,1571,1149
216,1,87,0,1237,771
217,1,87,1,1097,771
218,2,87,0,1389,1139
219,2,87,1,1573,1149
220,1,88,0,1237,771
221,1,88,1,1097,771
222,2,88,0,1389,1141
223,2,88,1,1571,1149
224,1,89,0,1237,771
225,1,89,1,1097,771
226,2,89,0,1389,1141
227,2,89,1,1573,1149
228,1,90,0,1237,769
229,1,90,1,1097,771
230,2,90,0,1389,1141
231,2,90,1,1569,1149
232,1,91,0,1239,771
233,1,91,1,1097,771
234,2,91,0,1389,1139
235,2,91,1,1571,1149
236,1,92,0,1239,771
237,1,92,1,1097,773
238,2,92,0,1389,1139
239,2,92,1,1569,1149
240,1,93,0,1237,771
241,1,93,1,1097,769
242,2,93,0,1389,1139
243,2,93,1,1571,1151
244,1,95,0,1237,771
245,1,95,1,1097,771
246,2,95,0,1389,1137
247,2,95,1,1569,1149
248,1,97,0,1237,771
249,1,97,1,1097,771
250,2,97,0,1391,1139
251,2,97,1,1571,1149
252,1,98,0,1239,767
253,1,98,1,1099,771
254,2,98,0,1389,1139
255,2,98,1,1571,1149
256,1,99,0,1239,769
257,1,99,1,1097,771
258,2,99,0,1389,1143
259,2,99,1,1571,1149
260,1,101,0,1237,767
261,1,101,1,1097,769
262,2,101,0,1387,1139
263,2,101,1,1571,1149
264,1,102,0,1237,765
265,1,102,1,1097,769
266,2,102,0,1389,1141
267,2,102,1,1571,1151
268,1,103,0,1239,767
269,1,103,1,1097,769
270,2,103,0,1389,1143
